,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ostersund,81,SE,1563578926,77,63.18,14.64,59.0,11.41
1,Cape Town,20,ZA,1563578654,70,-33.93,18.42,50.0,9.17
2,Butaritari,65,KI,1563578811,68,3.07,172.79,84.94,8.34
3,Nevsehir,0,TR,1563579118,72,38.62,34.71,61.0,4.68
4,Hermanus,29,ZA,1563578862,99,-34.42,19.24,48.99,16.93
5,Nhulunbuy,1,AU,1563579120,78,-12.18,136.78,75.2,9.17
6,Hovd,75,NO,1563579122,87,63.83,10.7,57.99,5.82
7,Longyearbyen,75,NO,1563578919,81,78.22,15.63,44.6,3.36
8,Mazara del Vallo,0,IT,1563579124,88,37.65,12.59,81.0,1.12
9,Buin,100,CL,1563579125,50,-33.73,-70.74,57.2,5.82
10,Vaini,100,IN,1563578824,91,15.34,74.49,76.84,0.94
11,Nemuro,100,JP,1563579000,96,43.32,145.57,57.94,9.31
12,Mataura,100,NZ,1563578879,97,-46.19,168.86,48.0,8.01
13,Bethel,90,US,1563579130,93,60.79,-161.76,57.2,12.75
14,Airai,0,TL,1563578896,53,-8.93,125.41,76.84,1.54
15,Mapiripan,10,CO,1563578596,92,2.89,-72.13,73.77,3.51
16,Dikson,16,RU,1563578877,79,73.51,80.55,40.65,19.98
17,Sabang,100,PH,1563579135,74,13.8,121.11,82.42,2.33
18,Punta Arenas,0,CL,1563578518,82,-53.16,-70.91,35.6,14.99
19,Modakeke,100,NG,1563579137,98,7.38,4.27,71.25,1.63
20,Ust-Kuyga,100,RU,1563579138,65,70.0,135.55,43.17,2.13
21,Sungai Besar,75,MY,1563579140,94,3.68,100.99,75.2,17.02
22,Victoria,75,BN,1563579003,94,5.28,115.24,80.6,8.3
23,Ushuaia,20,AR,1563578815,64,-54.81,-68.31,37.4,3.36
24,Zemio,70,CF,1563579143,93,5.02,25.13,67.84,0.78
25,Albany,75,US,1563578717,59,42.65,-73.75,89.6,4.7
26,Elizabethton,1,US,1563579146,62,36.35,-82.21,87.8,3.36
27,Tasiilaq,99,GL,1563578925,87,65.61,-37.64,44.6,8.05
28,Rikitea,80,PF,1563578830,59,-23.12,-134.97,66.57,13.49
29,Kapaa,40,US,1563578847,70,22.08,-159.32,86.0,17.22
30,Jamestown,0,AU,1563578822,43,-33.21,138.6,56.14,17.38
31,Ilulissat,75,GL,1563578867,76,69.22,-51.1,50.0,4.7
32,Klaksvik,73,FO,1563579040,100,62.23,-6.59,50.0,11.41
33,Tirumullaivasal,80,IN,1563579153,77,11.24,79.84,79.54,8.88
34,Lompoc,1,US,1563579031,64,34.64,-120.46,73.0,14.99
35,Rawson,50,AR,1563579156,40,-43.3,-65.11,43.9,27.58
36,Dubbo,0,AU,1563579157,81,-32.25,148.6,42.8,6.93
37,Lagoa,0,PT,1563579158,57,37.14,-8.45,77.0,5.82
38,Darhan,88,MN,1563579159,80,49.49,105.92,64.42,1.36
39,Bluff,0,AU,1563578817,53,-23.58,149.07,63.15,13.06
40,Wesselsbron,0,ZA,1563579162,70,-27.85,26.36,33.01,8.55
41,Ponta do Sol,5,BR,1563579075,65,-20.63,-46.0,55.24,4.94
42,Codrington,0,AU,1563579164,76,-28.95,153.24,59.0,8.05
43,Naze,100,NG,1563579165,97,5.43,7.07,71.97,3.04
44,Severo-Kurilsk,100,RU,1563578966,98,50.68,156.12,47.14,2.77
45,Hasaki,75,JP,1563579087,78,35.73,140.83,82.0,9.17
46,Forestville,75,CA,1563579169,88,48.74,-69.09,64.4,4.7
47,Xining,0,CN,1563579170,66,36.62,101.77,52.72,1.03
48,Bambous Virieux,40,MU,1563579071,88,-20.34,57.76,70.0,11.41
49,Chandler,1,US,1563579172,13,33.31,-111.84,108.0,13.87
50,Clyde River,40,CA,1563579173,87,70.47,-68.59,46.4,3.36
51,Saskylakh,96,RU,1563578944,40,71.97,114.09,64.6,14.9
52,Abu Kamal,0,SY,1563579176,46,34.45,40.92,76.47,18.81
53,San Cristobal,46,HN,1563579177,74,14.68,-86.92,72.7,9.04
54,Rozkishne,10,UA,1563579178,80,48.5,37.59,60.27,3.31
55,Busselton,17,AU,1563578849,98,-33.64,115.35,43.0,26.13
56,Arraial do Cabo,40,BR,1563579088,68,-22.97,-42.02,66.2,6.93
57,Jalu,0,LY,1563579181,46,29.03,21.55,77.92,12.03
58,Bilibino,99,RU,1563579183,51,68.06,166.44,46.95,4.92
59,Nhamunda,51,BR,1563579184,79,-2.19,-56.71,76.3,1.99
60,Shubarshi,0,KZ,1563579185,62,48.59,57.19,76.12,16.62
61,Thompson,75,CA,1563578637,67,55.74,-97.86,60.8,18.34
62,Provideniya,87,RU,1563579017,70,64.42,-173.23,57.94,10.18
63,Gaoual,42,GN,1563579189,91,11.75,-13.2,74.67,6.53
64,Yellowknife,75,CA,1563578922,42,62.45,-114.38,68.0,9.17
65,Rio Grande,8,BR,1563579191,89,-32.03,-52.1,60.01,4.65
66,Port Lincoln,0,AU,1563578843,55,-34.72,135.86,60.45,29.8
67,Castro,20,CL,1563579019,86,-42.48,-73.76,41.0,8.05
68,Sorong,82,ID,1563579013,84,-0.86,131.25,78.64,6.96
69,Saldanha,0,PT,1563578976,62,41.42,-6.55,68.02,4.94
70,Leshukonskoye,77,RU,1563579196,88,64.9,45.76,48.22,6.02
71,Hithadhoo,93,MV,1563578819,76,-0.6,73.08,83.14,18.25
72,Sola,68,TZ,1563579199,54,-3.17,33.8,67.84,4.12
73,Namatanai,61,PG,1563578647,81,-3.66,152.44,80.62,14.81
74,Kuching,75,MY,1563579201,94,1.56,110.34,78.8,1.01
75,New Norfolk,75,AU,1563578868,75,-42.78,147.06,44.6,9.17
76,Atuona,100,PF,1563578987,67,-9.8,-139.03,80.44,9.1
77,La Ronge,20,CA,1563578963,60,55.1,-105.3,71.6,14.99
78,Suntar,0,RU,1563579206,54,62.16,117.65,58.47,5.86
79,Avarua,13,CK,1563578807,88,-21.21,-159.78,75.2,4.7
80,Qaanaaq,100,GL,1563578823,95,77.48,-69.36,39.04,6.64
81,Mareeba,0,AU,1563578668,67,-16.99,145.42,68.0,12.75
82,Ulaangom,50,MN,1563579210,57,49.98,92.07,65.14,8.08
83,Solnechnyy,98,RU,1563579033,79,50.72,136.64,74.5,3.09
84,Baculin,38,PH,1563579212,60,7.45,126.58,81.15,1.48
85,Komsomolskoye,0,UA,1563579214,63,45.02,34.02,62.62,3.94
86,Kotka,0,FI,1563579215,82,60.47,26.95,60.8,9.17
87,Tevaitoa,26,PF,1563578972,79,-16.78,-151.5,75.04,20.8
88,Scarborough,100,GB,1563579217,93,54.28,-0.41,64.0,9.17
89,Port Alfred,45,ZA,1563578806,88,-33.59,26.89,50.0,11.99
90,Viedma,100,AR,1563578964,48,-40.81,-62.99,51.27,13.06
91,Pochutla,75,MX,1563579220,74,15.74,-96.47,86.0,0.63
92,Bratsk,75,RU,1563579222,93,56.15,101.63,53.6,11.18
93,Gedo,100,ET,1563579223,99,9.01,37.45,57.57,0.78
94,Maniitsoq,100,GL,1563578978,89,65.42,-52.9,43.72,3.94
95,Tiksi,89,RU,1563579036,42,71.64,128.87,53.07,10.71
96,Gat,25,SN,1563579226,74,14.69,-16.54,78.8,2.24
97,Saint-Philippe,1,CA,1563578914,66,45.36,-73.48,87.01,17.22
98,Dekar,0,BW,1563579228,21,-21.53,21.93,53.25,6.89
99,Guerrero Negro,0,MX,1563579230,85,27.97,-114.04,64.95,19.3
100,Cidreira,17,BR,1563578951,82,-30.17,-50.22,60.82,4.79
101,Hilo,1,US,1563578665,58,19.71,-155.08,84.99,10.29
102,Port Blair,95,IN,1563578855,77,11.67,92.75,81.87,11.39
103,Hofn,93,IS,1563579234,95,64.25,-15.21,39.94,11.72
104,Adrar,74,DZ,1563579235,15,27.87,-0.29,102.2,12.75
105,Jiexiu,100,CN,1563579237,86,37.02,111.92,70.0,0.74
106,Belmonte,0,PT,1563579238,82,40.36,-7.35,63.0,3.49
107,Calvinia,29,ZA,1563579239,92,-31.47,19.78,37.24,2.75
108,Madikeri,90,IN,1563579240,100,12.42,75.74,73.4,2.24
109,Sao Felix do Xingu,0,BR,1563578993,58,-6.64,-51.99,74.14,3.83
110,Andros Town,40,BS,1563579243,66,24.73,-77.79,86.0,12.75
111,Fare,26,PF,1563578959,79,-16.7,-151.02,75.04,20.8
112,Saint-Ambroise,20,CA,1563579023,45,48.56,-71.32,84.2,14.99
113,Bathsheba,40,BB,1563579246,78,13.22,-59.52,80.6,11.41
114,Kavaratti,100,IN,1563578858,74,10.57,72.64,82.6,23.55
115,Ostrovnoy,45,RU,1563579248,96,68.05,39.51,40.12,7.47
116,Kaitangata,100,NZ,1563579080,89,-46.28,169.85,50.0,7.0
117,Ancud,20,CL,1563579251,86,-41.87,-73.83,41.0,8.05
118,Isangel,90,VU,1563578955,64,-19.55,169.27,75.2,9.17
119,East London,30,ZA,1563578901,58,-33.02,27.91,48.4,24.7
120,Hefei,6,CN,1563579254,94,31.82,117.22,78.8,2.24
121,Iqaluit,75,CA,1563579018,87,63.75,-68.52,46.4,3.36
122,Araouane,60,ML,1563579256,36,18.9,-3.53,91.42,18.39
123,Vostok,1,RU,1563579258,65,46.45,135.83,79.0,0.47
124,Mayo,90,CA,1563579259,49,63.59,-135.9,73.4,3.36
125,Chokurdakh,100,RU,1563578947,70,70.62,147.9,41.74,9.13
126,Lebu,75,ET,1563578995,93,8.96,38.73,53.6,4.7
127,Khatanga,52,RU,1563578829,44,71.98,102.47,69.64,8.72
128,Geraldton,90,CA,1563579192,50,49.72,-86.95,77.0,14.99
129,Bredasdorp,52,ZA,1563578826,81,-34.53,20.04,48.2,8.05
130,Sabha,0,LY,1563579266,27,27.03,14.43,82.77,15.39
131,Lamu,0,CN,1563579267,73,35.77,102.37,54.52,1.01
132,Constitucion,90,MX,1563578891,77,23.99,-104.67,60.8,14.99
133,Ilheus,75,BR,1563579269,83,-14.79,-39.05,71.6,11.41
134,Petropavlovsk-Kamchatskiy,40,RU,1563579067,77,53.05,158.65,66.2,6.71
135,Puerto Suarez,69,BO,1563579271,73,-18.96,-57.8,75.2,4.7
136,Ixtapa,90,MX,1563579273,94,20.71,-105.21,78.01,4.7
137,Fortuna,20,US,1563579274,63,40.6,-124.16,66.0,14.99
138,Nagaur,33,IN,1563579275,48,27.2,73.74,90.7,4.25
139,Coihaique,75,CL,1563578940,98,-45.58,-72.07,33.8,5.82
140,Acapulco,75,MX,1563579277,70,16.86,-99.88,87.8,5.82
141,Bogalusa,1,US,1563579278,55,30.79,-89.85,91.4,6.93
142,Espanola,2,CA,1563579067,57,46.27,-81.77,82.99,10.0
143,Walvis Bay,0,NA,1563579281,51,-22.95,14.51,62.6,1.12
144,Mercedes,95,UY,1563579282,79,-33.25,-58.03,60.01,1.99
145,Kavieng,4,PG,1563579283,76,-2.57,150.8,83.85,13.47
146,Touros,75,BR,1563579095,100,-5.2,-35.46,73.4,10.29
147,Udachnyy,0,RU,1563579286,54,66.42,112.4,55.4,2.24
148,Praia,75,BR,1563579287,55,-20.25,-43.81,64.4,6.93
149,Vao,10,EE,1563578883,95,59.1,26.19,55.24,5.44
150,Nikolskoye,90,RU,1563578941,93,59.7,30.79,61.0,6.71
151,Harlingen,90,NL,1563579290,93,53.18,5.41,66.99,11.41
152,Ignalina,9,LT,1563579292,85,55.34,26.16,52.72,3.8
153,Harper,1,US,1563579293,36,30.3,-99.24,95.0,13.87
154,Khorixas,0,NA,1563579294,21,-20.37,14.96,58.84,4.14
155,Ribeira Grande,0,PT,1563578948,90,38.52,-28.7,72.87,13.0
156,Husavik,0,CA,1563579296,35,50.56,-96.99,75.99,21.0
157,Salalah,75,OM,1563579026,94,17.01,54.1,78.8,3.36
158,Saint George,20,GR,1563579299,77,39.45,22.34,75.0,2.21
159,Kodiak,0,US,1563578866,53,39.95,-94.76,97.0,14.99
160,Mahebourg,40,MU,1563578999,88,-20.41,57.7,70.0,11.41
161,Uri,0,IN,1563579302,85,34.09,74.03,56.14,4.36
162,Sisimiut,100,GL,1563579303,91,66.94,-53.67,41.74,11.72
163,Komatipoort,0,MZ,1563579305,17,-25.43,31.96,73.4,6.93
164,Saint-Alexandre,0,FR,1563579306,63,44.23,4.62,71.01,4.7
165,Bima,14,ID,1563579307,79,-8.45,118.73,73.24,2.89
166,Barrow,100,AR,1563578899,52,-38.31,-60.23,49.12,10.96
167,Pisco,90,PE,1563579102,30,-13.71,-76.2,71.6,8.05
168,Narsaq,27,GL,1563578878,67,60.91,-46.05,57.2,4.7
169,Meghraj,1,IN,1563579312,66,23.5,73.5,84.57,8.25
170,Bilma,6,NE,1563579313,23,18.69,12.92,93.94,10.56
171,Anjiang,100,CN,1563579314,94,27.32,110.14,77.55,0.63
172,Caravelas,39,BR,1563579315,72,-17.73,-39.27,70.9,13.73
173,Souillac,0,FR,1563578969,68,45.6,-0.6,71.01,3.36
174,Santiago del Estero,0,AR,1563579041,66,-27.8,-64.26,60.64,5.28
175,Sovetskiy,1,RU,1563579319,94,56.76,48.47,56.67,5.41
176,Payo,100,ID,1563579320,84,-3.75,103.64,69.64,2.17
177,Georgetown,40,GY,1563578818,88,6.8,-58.16,80.6,9.17
178,Mar del Plata,0,AR,1563578828,52,-46.43,-67.52,38.32,24.83
179,Karaton,40,ID,1563579323,74,-6.34,106.1,80.6,3.36
180,Ballina,98,IE,1563579324,95,54.11,-9.15,57.99,5.01
181,Ravar,0,IR,1563579326,18,31.27,56.81,69.27,4.07
182,Sistranda,75,NO,1563579327,100,63.73,8.83,57.99,2.24
183,Inhambane,0,MZ,1563579134,46,-23.87,35.38,68.55,12.66
184,Cherskiy,100,RU,1563578971,70,68.75,161.3,42.27,9.42
185,Dingle,83,PH,1563579330,72,11.0,122.67,80.44,1.39
186,Novi Pazar,53,RS,1563579332,91,43.14,20.51,55.05,2.21
187,Christchurch,100,NZ,1563579227,93,-43.53,172.64,48.0,8.05
188,Upernavik,100,GL,1563578842,92,72.79,-56.15,44.07,12.75
189,Telimele,97,GN,1563579335,99,10.9,-13.03,70.0,2.42
190,Norman Wells,75,CA,1563579336,42,65.28,-126.83,80.6,4.7
191,Dalvik,78,SE,1563579337,87,57.79,14.13,59.0,3.58
192,Kruisfontein,87,ZA,1563578845,71,-34.0,24.73,48.57,25.68
193,Krasnyy Kut,9,RU,1563579340,60,47.1,40.67,64.24,4.18
194,Saint Anthony,1,US,1563579341,28,43.97,-111.68,80.6,24.16
195,Zadar,0,HR,1563579342,82,44.12,15.24,68.0,0.36
196,Mount Gambier,31,AU,1563579343,66,-37.83,140.78,50.0,17.22
197,Skibbereen,75,IE,1563579345,82,51.55,-9.27,59.0,16.11
198,Taltal,0,CL,1563579346,72,-25.41,-70.49,55.42,1.99
199,Lahaina,40,US,1563579347,52,20.87,-156.68,89.6,17.22
200,Amarpur,91,IN,1563579348,95,23.52,91.65,78.64,3.98
201,Bogorodskoye,64,RU,1563579349,85,52.37,140.44,68.74,2.37
202,Chuy,20,UY,1563578892,89,-33.69,-53.46,56.14,7.54
203,Port Elizabeth,1,US,1563579352,70,39.31,-74.98,93.2,3.36
204,Laguna,75,BZ,1563579076,83,16.17,-88.94,82.4,9.17
205,Mount Isa,0,AU,1563579354,33,-20.73,139.49,59.0,4.7
206,Avera,90,US,1563578835,74,33.19,-82.53,91.4,8.05
207,Kahului,40,US,1563579357,52,20.89,-156.47,89.6,27.51
208,Bandarbeyla,42,SO,1563579358,62,9.49,50.81,76.84,28.27
209,Zyryanka,84,RU,1563579359,48,65.73,150.89,52.72,14.29
210,Kampong Chhnang,100,KH,1563579360,90,12.25,104.67,79.17,6.06
211,Buzmeyin,0,TM,1563579361,49,38.05,58.21,89.6,13.87
212,Pevek,100,RU,1563578848,98,69.7,170.27,31.84,7.78
213,Ponta Delgada,75,PT,1563579064,100,37.73,-25.67,69.8,8.05
214,Morehead,1,US,1563579365,62,38.18,-83.43,91.4,4.7
215,Hami,30,CN,1563579366,18,42.84,93.51,83.32,7.7
216,Sharan,41,AF,1563579367,61,33.15,68.78,68.55,4.12
217,Tuktoyaktuk,90,CA,1563578942,93,69.44,-133.03,48.2,10.29
218,Matara,28,BI,1563579053,87,-3.48,29.48,50.92,2.51
219,Te Anau,100,NZ,1563579371,90,-45.41,167.72,43.17,3.62
220,Golden,1,US,1563579184,11,39.76,-105.22,102.0,5.82
221,Portland,20,US,1563578699,69,43.66,-70.25,88.0,6.93
222,Samarai,100,PG,1563579374,86,-10.62,150.67,73.05,7.29
223,Haines Junction,77,CA,1563579375,53,60.75,-137.51,65.67,11.05
224,Beringovskiy,100,RU,1563579376,80,63.05,179.32,55.24,7.38
225,Karimganj,97,IN,1563579378,90,24.86,92.37,80.07,3.0
226,Anadyr,75,RU,1563579379,72,64.73,177.51,64.4,11.18
227,Khorramshahr,0,IR,1563579380,26,30.43,48.18,91.4,13.87
228,Sitka,0,US,1563578992,36,37.17,-99.65,100.0,15.99
229,Debica,0,PL,1563579382,77,50.05,21.41,69.01,3.36
230,Micheweni,0,TZ,1563579384,76,-4.97,39.83,76.12,11.65
231,Bridlington,100,GB,1563579385,93,54.08,-0.19,63.0,9.17
232,Kungalv,90,SE,1563579386,87,57.87,11.98,64.0,3.36
233,Sangar,0,RU,1563579387,37,63.92,127.47,59.02,7.09
234,Hobart,75,AU,1563578802,75,-42.88,147.33,44.6,9.17
235,Chicama,20,PE,1563579390,77,-7.84,-79.15,64.4,9.17
236,Jalalabad,40,AF,1563579391,58,34.43,70.46,84.2,4.7
237,Nioro,80,GM,1563579092,71,13.79,-15.05,77.02,11.88
238,Nome,40,US,1563579055,63,30.04,-94.42,91.4,11.41
239,San Patricio,32,PY,1563579025,95,-26.98,-56.83,62.25,5.75
240,Clinton,1,US,1563579395,83,41.28,-72.53,87.8,6.93
241,Arlit,46,NE,1563579396,19,18.74,7.39,94.84,6.76
242,Padang,100,ID,1563579398,82,-0.92,100.36,80.25,7.61
243,River Falls,40,US,1563579387,63,44.86,-92.63,93.99,11.41
244,Byron Bay,0,AU,1563579400,72,-28.65,153.62,68.0,9.17
245,Novyye Lyady,0,RU,1563579401,100,58.05,56.6,59.0,4.47
246,Dourbali,100,TD,1563579402,79,11.81,15.86,77.74,8.41
247,Nuuk,75,GL,1563579403,87,64.17,-51.74,46.4,5.82
248,Boa Vista,40,BR,1563578688,74,2.82,-60.67,80.6,3.36
249,Yar-Sale,83,RU,1563579406,80,66.83,70.83,67.65,5.41
250,Olinda,77,AU,1563579407,71,-37.84,145.39,57.0,17.22
251,Inirida,74,CO,1563579408,94,3.87,-67.92,75.4,2.13
252,Puerto Ayora,75,EC,1563578953,83,-0.74,-90.35,71.6,13.87
253,Keskin,13,TR,1563579411,67,39.67,33.62,64.0,5.82
254,Iisalmi,75,FI,1563579412,82,63.56,27.19,60.8,4.7
255,Concepcion del Oro,6,MX,1563579413,30,24.63,-101.42,75.94,14.88
256,Storforshei,7,NO,1563579414,82,66.4,14.52,50.02,1.19
257,Faya,20,SA,1563579022,20,18.39,42.45,75.2,1.81
258,Trairi,6,BR,1563579417,83,-3.28,-39.27,71.8,4.05
259,Noshiro,75,JP,1563579418,88,40.21,140.05,73.4,3.36
260,Puerto Ayacucho,40,CO,1563579419,88,5.66,-67.63,78.8,6.76
261,Cockburn Town,75,TC,1563579261,74,21.46,-71.14,84.2,13.87
262,Asyut,0,EG,1563579422,39,27.18,31.19,84.2,5.82
263,Aginskoye,100,RU,1563579423,98,51.11,114.54,60.64,7.81
264,Salinas,90,US,1563579227,64,36.67,-121.66,78.01,16.11
265,Pangnirtung,75,CA,1563578967,93,66.15,-65.72,55.4,4.7
266,Tarbert,90,GB,1563579426,100,55.86,-5.42,60.8,2.24
267,Kumburgaz,0,TR,1563579427,69,41.02,28.48,75.99,10.29
268,Rzhaksa,63,RU,1563579429,95,52.14,42.03,57.22,7.58
269,Carman,1,CA,1563579430,38,49.51,-98.0,77.0,13.87
270,Lorengau,12,PG,1563578998,79,-2.02,147.27,82.6,9.44
271,Kargasok,3,RU,1563579433,86,59.06,80.87,66.4,6.08
272,Lazo,40,RU,1563579434,86,45.88,133.65,74.32,6.42
273,Cabo San Lucas,20,MX,1563578837,43,22.89,-109.91,93.0,11.41
274,Duku,100,ID,1563579436,82,-1.19,100.47,80.25,7.61
275,Ambon,90,FR,1563579437,93,47.55,-2.56,66.99,5.82
276,Hun,0,BE,1563579438,77,50.34,4.87,68.0,5.82
277,Komsomolskiy,12,RU,1563578884,92,67.55,63.78,55.42,6.69
278,Dickinson,20,US,1563579240,31,46.88,-102.79,79.0,5.82
279,Alofi,75,NU,1563579442,78,-19.06,-169.92,80.6,9.17
